Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Mozambique,Africa,2015,61.3,84.0,332.5830,1.22,88,64,22.7,88,80,3.50,590,27.04,3.6,3.5,3.5,0,1,57.2
Poland,European Union,2002,7.3,8.4,143.4055,8.02,98,97,25.5,98,99,0.08,7607,38.23,2.5,2.6,11.4,1,0,74.5
Bulgaria,European Union,2015,6.9,8.2,136.0675,10.89,92,87,26.4,91,91,0.03,7075,7.18,1.9,1.8,11.8,1,0,74.6
China,Asia,2005,19.4,24.0,102.5235,2.92,84,84,22.8,87,87,0.10,3391,1303.72,5,4.4,6.9,0,1,73
France,European Union,2006,3.3,4.5,89.7240,13.05,39,65,25.0,99,99,0.11,35826,63.62,0.6,0.6,10.6,1,0,80.8
Czechia,European Union,2008,3.0,3.7,104.5205,13.65,99,98,26.7,99,99,0.08,17047,10.38,1.9,2,12.2,1,0,77
Sierra Leone,Africa,2015,95.1,140.2,397.8705,3.06,86,60,22.7,86,86,0.85,588,7.17,7.4,7.3,3.4,0,1,52.9
Qatar,Middle East,2013,7.2,8.4,57.8825,1.03,97,99,28.8,99,97,0.06,62733,2.34,5.1,4.7,9.9,0,1,79.5
Burkina Faso,Africa,2013,62.7,108.3,267.2085,5.49,88,34,22.0,89,88,0.23,639,17.07,8.4,7.9,1.4,0,1,58.9
Sao Tome and Principe,Central America and Caribbean,2002,48.0,71.0,217.4790,5.93,70,71,23.7,92,92,1.08,1087,0.15,7.6,7.6,4.3,0,1,62.7
Mauritius,Africa,2007,13.0,15.2,157.4485,3.23,97,80,24.9,96,97,1.05,6939,1.24,7.5,7.4,7.6,0,1,72.6
Kazakhstan,Asia,2014,11.6,13.0,193.5940,3.64,95,99,26.3,95,95,0.14,10539,17.29,2.4,2.5,11.7,0,1,71.4
Argentina,South America,2012,11.9,13.3,121.2325,8.00,91,89,27.3,90,91,0.14,13896,41.73,1,0.9,9.8,0,1,75.6
Ireland,European Union,2001,5.8,6.9,89.0550,14.04,95,86,26.4,84,84,0.05,43139,3.87,0.3,0.3,11,1,0,77.1
"Congo, Rep.",Africa,2014,38.7,54.4,269.6180,1.90,90,64,23.1,90,90,2.06,2603,4.74,7.6,7.3,6.3,0,1,62.6
Guinea,Africa,2010,74.4,117.7,290.8000,0.20,64,64,22.6,62,64,0.93,689,10.19,8.2,8.2,1.6,0,1,56.9
Tonga,Oceania,2001,14.2,16.5,156.6770,1.34,91,98,31.3,95,89,0.17,3790,0.10,0.1,0.1,9.1,0,1,69.7
Rwanda,Africa,2009,47.0,69.6,259.5265,7.30,97,87,21.6,93,97,1.09,573,9.78,6.6,6.4,3.3,0,1,62.1
Mongolia,Asia,2005,33.1,40.9,252.8310,5.17,98,98,24.8,99,99,0.02,2068,2.53,2.3,2.4,8.6,0,1,65.1
Seychelles,Africa,2001,11.8,13.7,178.6415,6.84,96,98,25.5,96,96,3.50,10915,0.08,6.2,6.6,7.5,0,1,73.3
Syrian Arab Republic,Middle East,2005,16.8,19.7,116.3830,0.79,83,81,27.3,83,80,0.13,1532,18.36,6.5,6.3,5.8,0,1,74.4
Latvia,European Union,2002,10.2,12.6,225.2175,7.44,98,96,25.7,98,97,0.19,7849,2.31,2.7,2.7,10.6,1,0,71
France,European Union,2005,3.3,4.6,91.6715,12.88,35,65,25.0,98,98,0.11,35214,63.18,0.6,0.6,10.4,1,0,80.2
Syrian Arab Republic,Middle East,2015,25.6,41.6,178.1065,0.23,41,47,28.2,50,41,0.13,979,18.00,6.3,6.1,5.1,0,1,69.9
Indonesia,Asia,2006,32.4,39.9,189.1485,0.06,66,50,22.2,78,72,0.22,2289,229.32,1.8,1.8,7.9,0,1,67.7
United Arab Emirates,Middle East,2013,6.8,8.0,70.6545,1.86,98,98,28.2,98,98,0.13,35496,9.20,5.2,5,10.3,0,1,76.9
Burkina Faso,Africa,2010,68.1,121.5,280.9365,5.44,91,32,21.8,90,91,0.31,582,15.61,9,8.6,1.4,0,1,57.1
Haiti,Central America and Caribbean,2005,65.3,89.4,287.5005,3.49,60,83,23.9,60,60,1.14,1284,9.20,4.4,4.4,4.3,0,1,58.7
Mali,Africa,2008,81.1,140.2,289.5660,0.58,74,64,22.4,74,74,0.62,707,14.11,9.2,9,1.9,0,1,54.2
Cambodia,Asia,2013,30.3,35.3,182.9515,2.80,83,52,21.9,71,83,0.11,1048,15.03,11,11.1,4.6,0,1,67.9
Eswatini,Africa,2000,67.8,112.2,559.1865,6.80,83,99,25.5,87,84,21.68,2472,1.01,9.4,9.6,3.9,0,1,47.5
Kyrgyz Republic,Asia,2009,27.8,31.6,206.2885,5.98,96,65,25.7,96,95,0.21,982,5.38,3.3,3.4,10.4,0,1,69.1
Grenada,Central America and Caribbean,2000,12.9,15.5,179.4865,9.21,97,70,25.3,97,97,0.40,6977,0.10,4.3,4.2,7.4,0,1,72.6
Guyana,South America,2008,31.7,39.0,219.4350,5.83,93,84,25.6,93,93,0.71,4512,0.75,5.6,5.4,8,0,1,67.5
"Micronesia, Fed. Sts.",Oceania,2009,27.8,33.7,172.0010,2.05,89,65,29.3,81,91,0.17,3015,0.10,0.2,0.2,7,0,1,66.3
Barbados,Central America and Caribbean,2011,13.7,14.8,104.7650,8.69,91,94,27.4,91,91,0.35,16619,0.28,3.8,3.8,9.9,0,1,78.5
Kiribati,Oceania,2003,49.5,64.8,215.9625,0.44,73,35,29.0,79,70,0.17,1541,0.09,0.2,0.2,7.1,0,1,64
Bahrain,Middle East,2007,8.4,9.8,73.8740,1.83,97,99,25.1,97,97,0.05,22112,1.04,6.1,5.9,8.4,0,1,75.6
Colombia,South America,2006,17.8,20.8,155.3430,4.43,93,85,25.4,94,93,0.21,4638,43.20,2.3,2.1,6.7,0,1,74.5
Germany,European Union,2012,3.4,4.0,73.3235,11.32,88,93,26.4,94,95,0.03,40069,80.43,1.1,1.1,14,1,0,80.5
Fiji,Oceania,2000,19.1,22.4,219.3440,2.46,98,84,26.3,91,90,0.03,4107,0.81,4.3,4,9.6,0,1,65.7
India,Asia,2014,36.9,46.2,180.3880,3.00,79,60,21.7,84,85,0.07,1503,1295.60,26.8,27.4,6.1,0,1,68.3
"Venezuela, RB",South America,2004,16.4,19.1,155.1210,7.58,82,83,26.4,83,86,0.40,4326,26.00,1.7,1.6,7.2,0,1,72.7
Belgium,European Union,2006,4.0,4.8,86.0230,10.94,94,78,25.8,99,98,0.08,39148,10.55,0.8,0.8,11.1,1,0,79.4
Slovak Republic,European Union,2014,5.2,6.4,108.8590,10.26,97,97,26.3,97,97,0.01,15547,5.42,1.2,1.2,12.3,1,0,76.8
Antigua and Barbuda,Central America and Caribbean,2007,9.6,11.7,142.9940,8.11,97,78,25.8,98,99,0.10,18062,0.08,3.4,3.3,9.2,0,1,75.4
El Salvador,Central America and Caribbean,2015,13.3,15.5,182.1595,2.54,91,88,27.6,92,91,0.18,3706,6.33,1.6,1.5,6.6,0,1,72.4
Panama,Central America and Caribbean,2015,14.6,17.0,114.7010,6.84,73,92,26.8,72,73,0.40,13630,3.97,1.9,1.8,9.9,0,1,77.8
Bulgaria,European Union,2010,9.0,10.8,142.4175,9.82,95,96,26.0,94,94,0.03,6428,7.40,2,2,10.6,1,0,73.5
Mozambique,Africa,2013,64.7,92.3,356.6770,1.00,78,64,22.5,84,78,3.50,544,25.56,3.6,3.5,3.4,0,1,54.9
Croatia,European Union,2005,5.8,6.7,112.1690,10.72,96,98,26.1,96,96,0.02,11400,4.31,1.8,1.8,9.7,1,0,75.2
Libya,Africa,2004,21.0,24.4,137.4190,0.01,99,95,27.1,97,97,0.07,11583,5.71,5.5,5.4,6.3,0,1,71.7
Bolivia,South America,2000,55.9,75.6,240.0465,2.30,77,83,24.7,74,75,0.26,2059,8.42,1.5,1.4,7.4,0,1,62.5
Maldives,Asia,2003,22.8,27.1,109.9360,1.95,98,71,23.5,98,98,0.17,7553,0.30,14.6,14.7,3.3,0,1,72.4
Vanuatu,Oceania,2005,23.6,28.2,161.2440,0.89,61,65,25.7,67,68,0.17,2622,0.21,1.6,1.5,6.5,0,1,68.4
Eswatini,Africa,2014,50.1,62.4,443.1500,7.28,98,89,26.7,98,98,15.74,3630,1.10,4.3,4.3,6.5,0,1,53.6
Iraq,Middle East,2000,35.6,44.5,163.5960,0.22,67,48,27.0,83,80,0.13,4337,23.50,5.6,5.4,5,0,1,69.1
Liberia,Africa,2002,111.9,163.7,344.8570,4.29,58,64,23.2,51,39,3.50,780,3.02,8.8,8.9,3.6,0,1,52.8
Guinea-Bissau,Africa,2013,64.3,99.7,277.9945,2.95,87,64,23.2,86,87,1.82,593,1.65,7.5,7.3,2.8,0,1,56.1
Cote d'Ivoire,Africa,2011,72.9,103.1,416.7045,1.14,62,64,23.5,58,62,1.16,1559,21.03,6.1,6,4.4,0,1,53.6
Haiti,Central America and Caribbean,2009,60.0,81.2,267.0260,3.53,60,83,24.5,65,65,0.90,1396,9.80,4.1,4.1,4.7,0,1,60.1
Togo,Africa,2002,71.8,112.9,334.7170,0.86,81,64,22.2,58,59,2.34,501,5.20,9,8.9,4.1,0,1,53.7
"Bahamas, The",Central America and Caribbean,2008,13.9,16.2,172.3360,9.65,90,83,27.4,93,93,0.53,34229,0.34,2.5,2.5,10.9,0,1,72
Nicaragua,Central America and Caribbean,2011,19.5,22.9,157.7570,3.34,98,83,26.8,99,98,0.12,1761,5.90,1.8,1.8,6.1,0,1,72.7
Trinidad and Tobago,Central America and Caribbean,2011,19.5,21.8,174.8020,5.79,90,83,27.1,91,90,0.40,18026,1.34,5.9,6.2,10.8,0,1,72.2
Samoa,Oceania,2009,18.8,25.7,133.7445,2.88,44,14,31.4,61,49,0.17,4012,0.18,0.2,0.2,9.9,0,1,71.4
Djibouti,Africa,2004,72.9,91.1,311.1355,0.51,88,82,23.7,64,64,0.85,863,0.77,6,5.9,3.6,0,1,57.7
Zimbabwe,Africa,2008,54.5,94.5,594.7345,2.82,75,64,23.6,75,75,7.81,850,12.38,7.8,7.8,7,0,1,46.5
Liberia,Africa,2009,74.2,103.6,272.1635,3.76,64,64,23.7,84,81,3.50,634,3.75,7.6,7.4,4,0,1,59
Jordan,Middle East,2015,15.0,17.5,109.9420,0.30,99,96,28.9,99,99,0.13,4164,9.27,4,4,10.3,0,1,74.1
Latvia,European Union,2008,7.3,8.8,198.7445,11.84,93,94,26.2,94,94,0.19,12893,2.18,2.3,2.4,12.2,1,0,72.4
Bangladesh,Asia,2001,60.0,81.1,166.1970,0.00,75,63,20.3,85,85,0.01,674,130.09,2.7,21.3,4.3,0,1,66
Moldova,Rest of Europe,2007,15.7,18.3,228.2265,7.81,95,92,26.4,93,92,0.44,2069,2.87,3,3.2,10.9,0,1,68.3
Grenada,Central America and Caribbean,2010,13.0,15.1,151.4055,7.71,97,86,26.4,94,97,0.40,8058,0.11,3.8,3.8,8.3,0,1,72.9
Tanzania,Africa,2015,40.9,58.1,239.6670,7.86,98,64,23.1,96,98,2.01,948,51.48,6.7,6.5,5.8,0,1,63.1
Kuwait,Middle East,2014,7.7,8.9,59.3025,0.00,96,86,29.4,94,95,0.13,30857,3.69,3.4,3.4,6.9,0,1,75
Gabon,Africa,2015,36.1,50.3,238.5125,8.06,80,64,25.2,79,80,1.09,7385,1.95,6.1,5.9,8.1,0,1,64.9
Mozambique,Africa,2002,100.3,152.6,445.3080,0.66,76,64,21.7,76,76,3.50,341,18.76,4,4,2.5,0,1,49.6
Senegal,Africa,2000,67.7,129.5,250.9140,0.24,87,33,22.1,49,52,0.68,1067,9.80,12.3,12.3,1.9,0,1,57.8
Armenia,Rest of Europe,2011,15.5,17.3,133.0115,4.07,95,98,26.1,96,95,0.08,3099,2.88,2,2.1,11.2,0,1,73.6
Belgium,European Union,2001,4.6,5.6,97.8795,11.01,60,78,25.5,96,95,0.08,35943,10.29,0.8,0.8,10.2,1,0,78
Cyprus,European Union,2011,2.7,3.2,56.0150,10.71,96,88,26.8,99,99,0.06,25466,1.12,0.9,1,11.6,1,0,79.6
Lebanon,Middle East,2005,12.1,14.1,81.0150,1.73,77,34,26.7,74,77,0.03,6668,4.70,4.7,4.6,7.5,0,1,76.9
Ireland,European Union,2005,4.4,5.2,77.6135,13.06,95,86,26.8,90,90,0.06,49382,4.16,0.3,0.2,11.7,1,0,78.9
Tunisia,Africa,2002,22.0,26.1,107.7635,1.15,93,98,25.3,96,96,0.01,2980,9.87,6.5,6.4,5.2,0,1,73.6
Zimbabwe,Africa,2001,51.1,93.8,703.6770,1.93,76,64,23.3,76,75,11.96,1715,11.92,1.6,1.7,6.7,0,1,44
Azerbaijan,Asia,2015,23.3,26.3,124.8970,0.51,96,98,26.9,98,96,0.05,5500,9.65,2.8,2.9,10.7,0,1,72.3
Sao Tome and Principe,Central America and Caribbean,2003,45.0,65.6,214.3245,6.70,43,71,23.8,94,94,0.89,1136,0.15,7.4,7.4,4.4,0,1,63.4
Nigeria,Africa,2015,79.3,126.4,356.2145,4.51,49,64,23.2,42,49,0.58,2687,181.14,9.8,9.7,6,0,1,53.1
Thailand,Asia,2015,9.3,10.8,148.8890,6.95,99,95,24.3,99,99,0.16,5840,68.71,7.7,7.7,7.6,0,1,76.1
Albania,Rest of Europe,2006,16.6,18.5,83.5945,5.17,98,94,25.7,97,97,0.03,2851,2.99,1.7,1.8,9.2,0,1,75.4
Romania,European Union,2014,8.3,9.9,130.9620,9.48,94,84,26.6,94,94,0.04,8671,19.91,2.6,2.8,10.9,1,0,74.9
Equatorial Guinea,Africa,2007,87.4,124.4,336.8925,8.31,46,64,23.3,55,41,4.21,14620,0.82,9.5,9.5,5.4,0,1,54.8
Brunei Darussalam,Asia,2000,8.2,10.3,106.3215,0.35,99,95,25.3,99,99,0.10,34064,0.33,6.8,6.3,8.3,0,1,73.1
Eswatini,Africa,2006,58.8,109.0,588.7775,6.26,93,99,26.0,88,87,18.94,3060,1.04,6.9,7.1,5.1,0,1,42.7
"Egypt, Arab Rep.",Africa,2005,29.3,35.7,170.0950,0.15,98,64,28.2,98,98,0.13,2830,75.52,3.2,3.2,5.6,0,1,69.4
Zambia,Africa,2013,46.6,71.1,316.2765,2.98,79,40,22.4,74,79,5.00,1321,14.93,6.4,6.2,6.8,0,1,59.7
Kenya,Africa,2003,53.2,85.4,459.6540,1.50,73,28,22.2,75,73,3.71,1135,34.68,8.8,8.8,5.6,0,1,52.4
Haiti,Central America and Caribbean,2014,54.1,71.9,246.6045,2.69,48,83,25.1,63,48,0.71,1371,10.55,3.9,3.9,5.1,0,1,62.1
Rwanda,Africa,2012,38.8,54.9,220.8520,6.43,98,87,21.8,98,98,0.84,669,10.55,6.1,6.1,3.7,0,1,65.4
Iceland,Rest of Europe,2013,1.9,2.4,53.1585,6.80,88,94,26.1,91,91,0.05,50947,0.32,1,0.9,11.9,1,0,82.1
Sierra Leone,Africa,2008,114.2,174.9,440.0625,3.83,77,60,22.5,75,77,1.21,516,6.13,8.7,8.7,2.9,0,1,47.5
Qatar,Middle East,2014,7.0,8.1,57.0760,1.01,89,95,29.0,99,89,0.06,62785,2.46,5.2,4.8,9.8,0,1,79.6
Switzerland,Rest of Europe,2011,3.9,4.5,54.1965,9.99,88,86,25.1,96,96,0.06,82678,7.91,0.5,0.3,13.3,1,0,82.7
Kenya,Africa,2006,45.7,72.0,374.1030,0.86,80,28,22.5,77,80,2.92,1239,37.65,8.5,8.4,5.9,0,1,56.1
Mongolia,Asia,2015,16.6,19.4,212.8410,8.35,99,98,26.1,99,99,0.01,3875,3.00,2.2,2.3,10.1,0,1,69.1
Central African Republic,Africa,2005,106.1,160.8,523.7230,1.57,45,64,22.0,47,54,3.05,455,4.04,9.7,9.7,3.3,0,1,44.7
Grenada,Central America and Caribbean,2003,12.5,14.8,171.5470,9.89,97,68,25.7,98,97,0.40,7653,0.10,4,4.1,7.6,0,1,73
Gabon,Africa,2002,51.2,79.6,328.5085,8.29,70,64,23.9,44,45,3.33,7662,1.29,7.7,7.5,6.5,0,1,57.8
Mauritania,Africa,2003,68.3,110.8,225.6000,0.00,61,64,24.0,75,76,0.42,1283,2.86,1.3,1.1,3.2,0,1,61
Portugal,European Union,2015,3.0,3.6,73.2830,10.34,98,95,25.7,98,98,0.12,19250,10.36,0.7,0.5,9.1,1,0,81.1
Myanmar,Asia,2008,63.4,98.4,216.1595,0.79,85,57,21.9,85,85,0.39,753,49.93,13.2,13.4,3.9,0,1,62.7
Algeria,Africa,2012,22.5,26.2,100.2005,0.43,95,95,25.2,95,95,0.03,4012,37.38,5.9,5.8,7.6,0,1,75.4
Tanzania,Africa,2011,45.5,68.4,301.7985,7.09,90,64,22.9,88,90,2.40,845,45.67,7,6.9,5.1,0,1,59.5
Colombia,South America,2011,15.2,17.7,145.9445,4.30,85,76,25.8,85,85,0.22,5468,45.66,2.2,2,7.5,0,1,75.7
Tanzania,Africa,2005,58.5,93.9,395.0160,5.74,90,64,22.5,91,90,3.41,692,38.45,7.7,7.6,4.8,0,1,54.3
Comoros,Africa,2012,58.9,79.4,234.8335,0.11,89,64,24.0,85,86,0.01,1237,0.72,6.9,6.7,4.6,0,1,62.6
Togo,Africa,2014,52.2,78.3,275.1550,1.25,87,64,23.4,82,87,0.72,554,7.14,6.6,6.4,4.7,0,1,59.6
Ireland,European Union,2009,3.6,4.3,73.9955,10.93,95,86,27.1,94,94,0.07,45386,4.54,0.3,0.2,12.1,1,0,80.2
Jordan,Middle East,2002,21.4,25.3,127.8375,0.51,95,90,28.0,95,95,0.13,3849,5.32,3.9,3.9,9.6,0,1,72.1
Netherlands,European Union,2013,3.5,4.1,60.8190,8.59,88,92,25.5,97,97,0.05,44055,16.80,1,0.9,12.1,1,0,81.3
Cyprus,European Union,2001,5.2,6.0,67.9315,10.16,89,91,26.3,97,97,0.03,23018,0.96,0.9,1,10.1,1,0,78.1
Belgium,European Union,2007,3.9,4.7,86.1695,13.43,94,78,25.8,99,98,0.08,40290,10.63,0.8,0.8,11.1,1,0,79.8
Lithuania,European Union,2000,8.6,10.7,197.9555,9.87,98,97,26.0,92,94,0.04,6423,3.50,3.4,3.4,10.7,1,0,72
Liberia,Africa,2013,66.9,92.0,252.3375,3.74,76,64,24.0,80,76,3.50,754,4.25,6.8,6.7,4.4,0,1,61.2
Ukraine,Rest of Europe,2011,9.6,11.2,203.8000,8.74,21,56,26.3,54,50,0.26,2450,45.71,2.4,2.5,11.3,0,1,70.8
"Gambia, The",Africa,2002,58.1,104.2,295.7540,3.37,92,64,22.3,86,87,1.59,700,1.40,9.8,9.8,2.1,0,1,56.8
Suriname,South America,2007,22.2,25.0,187.5935,4.69,84,16,25.9,84,84,0.75,8204,0.51,3.5,3.4,7.7,0,1,69.6
Slovenia,European Union,2011,2.5,3.1,81.4060,10.61,88,96,26.2,96,96,0.02,20747,2.05,1.6,1.6,12.2,1,0,80
Brazil,South America,2003,25.1,28.4,174.6110,6.84,97,74,25.1,99,99,0.25,6896,181.81,3.3,3.3,6.2,0,1,71.2
Somalia,Africa,2009,98.7,161.9,328.7635,0.00,42,64,22.7,41,42,0.13,280,11.72,7.1,6.9,2.1,0,1,53.7
Guinea,Africa,2006,81.5,130.4,311.2915,0.15,57,64,22.3,53,57,1.09,655,9.31,9.1,9.1,1.6,0,1,54.1
Sao Tome and Principe,Central America and Caribbean,2012,23.7,30.2,195.5055,5.65,96,71,24.6,96,96,0.22,1446,0.19,5.9,5.7,5.1,0,1,68.3
New Zealand,Oceania,2013,4.8,5.8,66.5335,9.12,93,86,27.8,92,92,0.03,37219,4.44,0.3,0.3,12.1,1,0,81.4
Saudi Arabia,Middle East,2003,15.8,18.5,104.0790,0.06,95,97,27.7,95,95,0.13,17385,22.46,7.2,7.3,7.1,0,1,73.1
Guinea-Bissau,Africa,2007,82.5,132.2,296.2785,3.22,83,64,22.8,76,74,2.81,566,1.41,8.7,8.6,2.3,0,1,53.1
Canada,North America,2012,4.9,5.6,67.4450,8.30,70,83,26.9,91,95,0.10,42316,34.71,0.5,0.5,12.8,1,0,81.6
Maldives,Asia,2015,8.4,9.8,68.3620,1.26,99,99,25.3,99,99,0.17,9033,0.45,13.6,13.6,6.3,0,1,77.7
Lesotho,Africa,2014,71.9,94.2,518.2790,2.75,93,82,24.9,88,93,10.88,1120,2.04,5.8,5.6,6.1,0,1,49.9
Comoros,Africa,2015,54.4,72.3,227.2735,0.14,91,64,24.3,92,91,0.01,1243,0.78,6.7,6.5,4.8,0,1,63.5
Trinidad and Tobago,Central America and Caribbean,2015,17.3,19.3,168.7145,5.97,90,79,27.5,88,96,0.40,18384,1.37,5.7,5.9,10.8,0,1,72.9
Mauritania,Africa,2006,66.1,106.1,219.9000,0.01,68,64,24.3,68,68,0.32,1585,3.11,9.6,9.4,3.4,0,1,61.6
Burundi,Africa,2008,66.5,103.6,333.5290,4.80,92,57,21.2,89,92,0.61,306,8.13,7.9,7.9,2.5,0,1,55.7
United Arab Emirates,Middle East,2015,6.5,7.6,68.5765,2.12,99,99,28.4,99,99,0.13,38663,9.26,5.3,5.1,10.6,0,1,77.3
Latvia,European Union,2009,6.9,8.3,185.7220,9.85,92,92,26.2,94,94,0.20,11240,2.14,2.3,2.3,12.3,1,0,73.1
Timor-Leste,Oceania,2009,53.6,64.4,167.5715,0.09,72,64,20.6,78,72,0.07,1104,1.07,11.6,11.6,4.4,0,1,66.8
Sri Lanka,Asia,2002,13.4,15.5,140.0585,1.62,86,92,21.7,98,98,0.02,1939,19.06,15.4,15.6,10.2,0,1,73.1
Brazil,South America,2008,18.4,20.6,159.6305,6.83,96,56,25.6,99,99,0.25,8259,192.03,3,3,6.7,0,1,73
Moldova,Rest of Europe,2006,16.3,19.0,229.8025,7.94,98,92,26.4,98,97,0.42,2004,2.88,3.1,3.3,10.6,0,1,68
Costa Rica,Central America and Caribbean,2012,8.6,9.9,90.3690,3.17,91,95,27.0,90,91,0.18,10945,4.69,1.8,1.7,8.5,0,1,79.1
Slovak Republic,European Union,2008,6.1,7.4,134.3670,11.87,99,97,25.9,99,99,0.01,14488,5.38,1.3,1.4,11.2,1,0,74.7
Slovenia,European Union,2002,4.1,4.9,115.2275,9.87,88,98,25.5,93,93,0.02,17302,1.99,2.1,2.2,11.5,1,0,76
Costa Rica,Central America and Caribbean,2007,9.7,11.1,94.6415,4.25,89,84,26.5,89,89,0.16,9725,4.40,1.9,1.9,8.1,0,1,78.4
Libya,Africa,2007,17.3,20.2,130.9605,0.01,98,97,27.4,98,98,0.09,14010,5.97,5.5,5.4,6.8,0,1,72.2
Mexico,North America,2007,18.2,21.3,121.6570,4.24,98,85,27.3,98,98,0.15,9214,109.17,1.7,1.7,8,0,1,75.3
Papua New Guinea,Oceania,2009,45.9,59.3,236.9375,0.78,66,65,24.9,70,73,0.36,2077,7.14,1.4,1.3,3.9,0,1,61.7
Peru,South America,2001,27.2,35.3,151.0545,4.09,84,51,25.1,90,90,0.19,3282,26.80,1.4,1.4,8.1,0,1,71.5
Latvia,European Union,2013,5.1,6.0,167.9200,10.43,94,92,26.5,94,94,0.26,12796,2.01,2.2,2.2,12.7,1,0,74
Uzbekistan,Asia,2006,34.8,40.1,176.2165,1.81,98,63,25.5,94,96,0.13,1656,26.49,3.2,3.2,9.9,0,1,68.7
Slovenia,European Union,2012,2.4,2.9,80.7685,10.95,88,96,26.2,96,96,0.02,20157,2.06,1.5,1.5,11.7,1,0,80.1
Lao PDR,Asia,2004,66.1,90.8,249.9260,3.54,45,65,21.5,46,45,0.15,1112,5.66,1.1,1.2,4.2,0,1,61.1
Uzbekistan,Asia,2005,37.4,43.4,179.3480,1.76,99,81,25.3,99,99,0.12,1560,26.17,3.2,3.2,9.8,0,1,68.4
Malaysia,Asia,2010,6.9,8.1,127.3235,0.52,96,95,25.0,96,96,0.17,8248,28.21,8.2,8,9.8,0,1,74.5
Portugal,European Union,2011,3.0,3.7,83.8420,10.86,97,96,25.8,97,97,0.15,19365,10.56,0.7,0.5,8.3,1,0,80.5
Honduras,Central America and Caribbean,2003,26.6,32.1,165.7915,2.87,91,83,25.2,92,92,0.29,1846,7.11,2.6,2.5,4.6,0,1,71.5
Samoa,Oceania,2007,16.5,19.3,143.1185,3.85,46,36,31.2,63,53,0.17,3949,0.18,0.2,0.2,9.7,0,1,70.9
Algeria,Africa,2011,22.9,26.7,102.1670,0.40,95,96,25.1,95,95,0.02,3957,36.66,5.9,5.8,7.4,0,1,75.2
Burkina Faso,Africa,2009,70.3,126.9,285.4880,5.52,92,31,21.7,91,92,0.35,554,15.14,9.3,8.8,1.4,0,1,56.4
Guinea-Bissau,Africa,2001,102.1,168.4,304.1950,2.75,83,64,22.2,56,53,3.31,578,1.23,1,1,2.3,0,1,50.7
Philippines,Asia,2010,24.8,31.7,206.5250,4.73,77,10,22.7,88,79,0.05,2433,93.97,1,9.7,8.9,0,1,69.8
France,European Union,2001,3.9,5.3,99.5920,14.15,28,65,24.9,98,97,0.11,34015,61.36,0.7,0.6,10,1,0,79.2
Malawi,Africa,2010,52.4,84.2,390.2415,1.69,93,64,22.5,86,93,4.40,359,14.54,6.8,6.7,4.3,0,1,55.6
Antigua and Barbuda,Central America and Caribbean,2003,11.5,14.1,150.4120,6.91,99,59,25.4,99,99,0.10,13793,0.08,3.5,3.5,9,0,1,74.6
Grenada,Central America and Caribbean,2002,12.6,15.0,174.2165,10.99,98,74,25.5,98,98,0.40,7016,0.10,4.1,4.1,7.4,0,1,72.9
"Congo, Rep.",Africa,2002,68.0,106.2,422.4890,0.90,71,64,22.2,41,41,2.36,2115,3.31,9.3,8.9,5.7,0,1,53.1
Tajikistan,Asia,2002,58.4,71.0,167.8915,0.80,39,93,24.3,84,85,0.01,510,6.43,4,4,10.6,0,1,63.7
Angola,Africa,2012,67.4,105.1,252.3520,7.83,75,64,23.0,54,75,1.21,3128,25.11,8.8,8.6,4.8,0,1,57.2
Jordan,Middle East,2004,20.2,23.9,124.4240,0.50,95,98,28.1,95,95,0.13,4148,5.58,3.9,3.8,9.7,0,1,72.4
Cuba,Central America and Caribbean,2012,4.8,6.1,93.2290,4.33,96,96,25.4,98,99,0.16,7138,11.26,3.4,3.2,10.8,0,1,78.4
South Africa,Africa,2012,31.0,41.5,400.4450,7.22,68,53,27.1,69,65,8.52,6232,52.83,6,7.3,9.8,0,1,60.1
Israel,Middle East,2005,4.5,5.6,69.3715,2.46,96,96,26.6,95,93,0.08,28810,6.93,1.1,1.1,12.3,1,0,80.2
Portugal,European Union,2004,3.9,5.0,98.0330,12.26,94,79,25.7,95,95,0.19,19110,10.48,0.7,0.6,7.4,1,0,77.7
Iceland,Rest of Europe,2014,1.9,2.4,55.2385,7.01,88,93,26.2,90,90,0.05,51233,0.33,1,0.9,12.2,1,0,82.9
Seychelles,Africa,2005,11.8,13.7,166.0905,6.60,99,99,25.8,99,99,3.50,10790,0.08,6,6.4,7.7,0,1,72.1
"Gambia, The",Africa,2008,48.6,80.3,279.9295,2.98,98,64,23.1,96,96,1.34,708,1.69,8.6,8.5,2.6,0,1,59
Libya,Africa,2002,22.7,26.5,141.7245,0.00,91,86,27.0,93,93,0.06,10129,5.53,5.6,5.4,5.9,0,1,71.2
"Congo, Dem. Rep.",Africa,2006,92.8,131.4,304.8745,2.68,69,64,21.2,62,62,0.74,371,56.58,11.3,11.1,4.5,0,1,54.4
Cabo Verde,Africa,2014,17.9,21.0,127.3355,4.31,97,79,24.4,95,95,0.26,3050,0.52,6.8,6.7,5.8,0,1,71.9
